iteration,function operation,time elapsed
21,Resize dataset,0.00010085105895996094
21,Append arrays,0.10942959785461426
21,Update progress bar,0.0008358955383300781
22,Resize dataset,8.273124694824219e-05
22,Append arrays,0.10899901390075684
22,Update progress bar,0.0007262229919433594
23,Resize dataset,7.677078247070312e-05
23,Append arrays,0.12334966659545898
23,Update progress bar,0.0008509159088134766
24,Resize dataset,7.486343383789062e-05
24,Append arrays,0.11978960037231445
24,Update progress bar,0.0006856918334960938
25,Resize dataset,0.0001220703125
25,Append arrays,0.10595870018005371
25,Update progress bar,0.0009124279022216797
26,Resize dataset,7.343292236328125e-05
26,Append arrays,0.10775136947631836
26,Update progress bar,0.0009114742279052734
27,Resize dataset,0.00010991096496582031
27,Append arrays,0.11775016784667969
27,Update progress bar,0.0006606578826904297
28,Resize dataset,8.082389831542969e-05
28,Append arrays,0.1126413345336914
28,Update progress bar,0.0007319450378417969
29,Resize dataset,7.843971252441406e-05
29,Append arrays,0.12672209739685059
29,Update progress bar,0.0007922649383544922
30,Resize dataset,7.843971252441406e-05
30,Append arrays,0.147674560546875
30,Update progress bar,0.0007865428924560547
31,Resize dataset,8.296966552734375e-05
31,Append arrays,0.1340622901916504
31,Update progress bar,0.0009911060333251953
32,Resize dataset,7.62939453125e-05
32,Append arrays,0.10539126396179199
32,Update progress bar,0.0006618499755859375
33,Resize dataset,8.058547973632812e-05
33,Append arrays,0.12833476066589355
33,Update progress bar,0.0010612010955810547
34,Resize dataset,7.271766662597656e-05
34,Append arrays,0.11600518226623535
34,Update progress bar,0.0006959438323974609
35,Resize dataset,9.179115295410156e-05
35,Append arrays,0.14203691482543945
35,Update progress bar,0.000997304916381836
36,Resize dataset,9.72747802734375e-05
36,Append arrays,0.1691274642944336
36,Update progress bar,0.0009882450103759766
37,Resize dataset,7.62939453125e-05
37,Append arrays,0.14535260200500488
37,Update progress bar,0.0008692741394042969
38,Resize dataset,7.843971252441406e-05
38,Append arrays,0.10677266120910645
38,Update progress bar,0.0008676052093505859
39,Resize dataset,8.821487426757812e-05
39,Append arrays,0.12237715721130371
39,Update progress bar,0.0007262229919433594
40,Resize dataset,7.224082946777344e-05
40,Append arrays,0.12588906288146973
40,Update progress bar,0.000972747802734375
41,Resize dataset,8.0108642578125e-05
41,Append arrays,0.3496561050415039
41,Update progress bar,0.0007309913635253906
42,Resize dataset,7.200241088867188e-05
42,Append arrays,0.10982847213745117
42,Update progress bar,0.0006399154663085938
43,Resize dataset,7.224082946777344e-05
43,Append arrays,0.11397385597229004
43,Update progress bar,0.0006575584411621094
44,Resize dataset,7.104873657226562e-05
44,Append arrays,0.10285019874572754
44,Update progress bar,0.0006887912750244141
45,Resize dataset,7.677078247070312e-05
45,Append arrays,0.11709856986999512
45,Update progress bar,0.0010569095611572266
46,Resize dataset,7.915496826171875e-05
46,Append arrays,0.1228799819946289
46,Update progress bar,0.001298666000366211
47,Resize dataset,7.724761962890625e-05
47,Append arrays,0.12618255615234375
47,Update progress bar,0.0007083415985107422
48,Resize dataset,8.273124694824219e-05
48,Append arrays,0.10580182075500488
48,Update progress bar,0.0006978511810302734
49,Resize dataset,7.128715515136719e-05
49,Append arrays,0.10488390922546387
49,Update progress bar,0.000690460205078125
50,Resize dataset,7.677078247070312e-05
50,Append arrays,0.11417508125305176
50,Update progress bar,0.0007290840148925781
51,Resize dataset,0.00011873245239257812
51,Append arrays,0.12696146965026855
51,Update progress bar,0.0006723403930664062
52,Resize dataset,7.653236389160156e-05
52,Append arrays,0.12243199348449707
52,Update progress bar,0.0007569789886474609
53,Resize dataset,7.724761962890625e-05
53,Append arrays,0.1103525161743164
53,Update progress bar,0.0007345676422119141
